timestamp,status,bucket,relative_path,remote_path,bytes,message
2026-01-19T10:45:38.393Z,OK,archive-people,1.19 Swan Centre\Swan Centre 2019 Decorations.pptx,prospects-and-clients-people-c044accb9f/1.19 Swan Centre/Swan Centre 2019 Decorations.pptx,24419259,
2026-01-19T10:45:38.697Z,OK,archive-people,1.19 Swan Centre\Swan Centre product list.docx,prospects-and-clients-people-c044accb9f/1.19 Swan Centre/Swan Centre product list.docx,13405,
2026-01-19T10:45:38.698Z,SKIP,,1.19 Swan Centre\Thumbs.db,,34304,SKIP_skip_ext:.db
2026-01-19T10:45:38.891Z,OK,archive-people,1.20 Coliseum Ellesmere\1.20 - 2014 Decorations Plan - Workings v1.xls,prospects-and-clients-people-c044accb9f/1.20 Coliseum Ellesmere/1.20 - 2014 Decorations Plan - Workings v1.xls,84992,
2026-01-19T10:45:40.479Z,OK,archive-product,1.20 Coliseum Ellesmere\1.20 2014 - Coliseum Proposal v1.pdf,prospects-and-clients-product-c044accb9f/1.20 Coliseum Ellesmere/1.20 2014 - Coliseum Proposal v1.pdf,1147124,
2026-01-19T10:45:42.440Z,OK,archive-people,1.20 Coliseum Ellesmere\1.20 2014 - Coliseum Proposal v1.pptx,prospects-and-clients-people-c044accb9f/1.20 Coliseum Ellesmere/1.20 2014 - Coliseum Proposal v1.pptx,2189276,
2026-01-19T10:45:42.761Z,OK,archive-people,1.20 Coliseum Ellesmere\Coliseum 2014 - install quote.xls,prospects-and-clients-people-c044accb9f/1.20 Coliseum Ellesmere/Coliseum 2014 - install quote.xls,31744,
2026-01-19T10:45:43.037Z,OK,archive-performance,1.20 Coliseum Ellesmere\curtain light.jpg,prospects-and-clients-performance-c044accb9f/1.20 Coliseum Ellesmere/curtain light.jpg,163084,
2026-01-19T10:45:43.186Z,OK,archive-performance,1.20 Coliseum Ellesmere\icicle light 2.jpg,prospects-and-clients-performance-c044accb9f/1.20 Coliseum Ellesmere/icicle light 2.jpg,27303,
2026-01-19T10:45:43.395Z,OK,archive-performance,1.20 Coliseum Ellesmere\icicle light.jpg,prospects-and-clients-performance-c044accb9f/1.20 Coliseum Ellesmere/icicle light.jpg,69052,
2026-01-19T10:45:44.479Z,OK,archive-performance,1.20 Coliseum Ellesmere\Img_3031.jpg,prospects-and-clients-performance-c044accb9f/1.20 Coliseum Ellesmere/Img_3031.jpg,1195530,
2026-01-19T10:45:45.518Z,OK,archive-performance,1.20 Coliseum Ellesmere\Img_3035.jpg,prospects-and-clients-performance-c044accb9f/1.20 Coliseum Ellesmere/Img_3035.jpg,1148358,
