timestamp,status,bucket,relative_path,remote_path,bytes,message
2026-01-19T10:59:48.401Z,OK,archive-people,2016\Kaemingk Showroom\.picasa.ini,Staff Images-people-e0b24c7bbb/2016/Kaemingk Showroom/.picasa.ini,82,
2026-01-19T10:59:52.377Z,OK,archive-performance,2016\Kaemingk Showroom\20160309_103217.jpg,Staff Images-performance-e0b24c7bbb/2016/Kaemingk Showroom/20160309_103217.jpg,4442065,
2026-01-19T10:59:55.888Z,OK,archive-performance,2016\Kaemingk Showroom\20160309_103219.jpg,Staff Images-performance-e0b24c7bbb/2016/Kaemingk Showroom/20160309_103219.jpg,3608505,
2026-01-19T11:00:01.030Z,OK,archive-performance,2016\Kaemingk Showroom\20160309_103559.jpg,Staff Images-performance-e0b24c7bbb/2016/Kaemingk Showroom/20160309_103559.jpg,4009528,
2026-01-19T11:00:05.645Z,OK,archive-performance,2016\Kaemingk Showroom\20160309_103751.jpg,Staff Images-performance-e0b24c7bbb/2016/Kaemingk Showroom/20160309_103751.jpg,3072475,
2026-01-19T11:00:10.366Z,OK,archive-performance,2016\Kaemingk Showroom\20160309_103759.jpg,Staff Images-performance-e0b24c7bbb/2016/Kaemingk Showroom/20160309_103759.jpg,2393337,
2026-01-19T11:00:13.709Z,OK,archive-performance,2016\Kaemingk Showroom\20160309_103814.jpg,Staff Images-performance-e0b24c7bbb/2016/Kaemingk Showroom/20160309_103814.jpg,2893133,
2026-01-19T11:00:17.172Z,OK,archive-performance,2016\Kaemingk Showroom\20160309_104633.jpg,Staff Images-performance-e0b24c7bbb/2016/Kaemingk Showroom/20160309_104633.jpg,3635543,
2026-01-19T11:00:20.329Z,OK,archive-performance,2016\Kaemingk Showroom\20160309_111621.jpg,Staff Images-performance-e0b24c7bbb/2016/Kaemingk Showroom/20160309_111621.jpg,3213704,
2026-01-19T11:00:23.173Z,OK,archive-performance,2016\Kaemingk Showroom\20160309_111719.jpg,Staff Images-performance-e0b24c7bbb/2016/Kaemingk Showroom/20160309_111719.jpg,3006775,
2026-01-19T11:00:25.547Z,OK,archive-performance,2016\Kaemingk Showroom\20160309_111846.jpg,Staff Images-performance-e0b24c7bbb/2016/Kaemingk Showroom/20160309_111846.jpg,2501622,
2026-01-19T11:00:29.510Z,OK,archive-performance,2016\Kaemingk Showroom\20160309_111940.jpg,Staff Images-performance-e0b24c7bbb/2016/Kaemingk Showroom/20160309_111940.jpg,4003616,
2026-01-19T11:00:33.180Z,OK,archive-performance,2016\Kaemingk Showroom\20160309_112224.jpg,Staff Images-performance-e0b24c7bbb/2016/Kaemingk Showroom/20160309_112224.jpg,3534390,
2026-01-19T11:00:37.386Z,OK,archive-performance,2016\Kaemingk Showroom\20160309_112443.jpg,Staff Images-performance-e0b24c7bbb/2016/Kaemingk Showroom/20160309_112443.jpg,3839433,
2026-01-19T11:00:41.879Z,OK,archive-performance,2016\Kaemingk Showroom\20160309_112459.jpg,Staff Images-performance-e0b24c7bbb/2016/Kaemingk Showroom/20160309_112459.jpg,4397138,
2026-01-19T11:00:45.900Z,OK,archive-performance,2016\Kaemingk Showroom\20160309_112506.jpg,Staff Images-performance-e0b24c7bbb/2016/Kaemingk Showroom/20160309_112506.jpg,4590025,
2026-01-19T11:00:50.865Z,OK,archive-performance,2016\Kaemingk Showroom\20160309_112539.jpg,Staff Images-performance-e0b24c7bbb/2016/Kaemingk Showroom/20160309_112539.jpg,3833748,
2026-01-19T11:00:55.454Z,OK,archive-performance,2016\Kaemingk Showroom\20160309_112622.jpg,Staff Images-performance-e0b24c7bbb/2016/Kaemingk Showroom/20160309_112622.jpg,4217215,
2026-01-19T11:00:59.960Z,OK,archive-performance,2016\Kaemingk Showroom\20160309_112624.jpg,Staff Images-performance-e0b24c7bbb/2016/Kaemingk Showroom/20160309_112624.jpg,4733129,
