timestamp,status,bucket,relative_path,remote_path,bytes,message
2026-01-19T09:59:03.862Z,DRY_RUN,archive-product,1.02 Cannock\2014 - Cannock Shopping Centre.pdf,prospects-and-clients-product-c044accb9f/1.02 Cannock/2014 - Cannock Shopping Centre.pdf,1556778,
2026-01-19T09:59:03.862Z,DRY_RUN,archive-people,1.02 Cannock\2014 - Cannock.pptx,prospects-and-clients-people-c044accb9f/1.02 Cannock/2014 - Cannock.pptx,4735801,
2026-01-19T09:59:03.863Z,DRY_RUN,archive-performance,1.02 Cannock\Atrium Balcony.jpg,prospects-and-clients-performance-c044accb9f/1.02 Cannock/Atrium Balcony.jpg,533032,
2026-01-19T09:59:03.863Z,DRY_RUN,archive-performance,1.02 Cannock\Atrium.jpg,prospects-and-clients-performance-c044accb9f/1.02 Cannock/Atrium.jpg,467920,
2026-01-19T09:59:03.863Z,DRY_RUN,archive-people,1.02 Cannock\Cannock 2014.xls,prospects-and-clients-people-c044accb9f/1.02 Cannock/Cannock 2014.xls,33280,
2026-01-19T09:59:03.864Z,DRY_RUN,archive-people,1.02 Cannock\Cannock costing 2014.xls,prospects-and-clients-people-c044accb9f/1.02 Cannock/Cannock costing 2014.xls,98816,
2026-01-19T09:59:03.864Z,DRY_RUN,archive-people,1.02 Cannock\Cannock Workings 2014 v1.xls,prospects-and-clients-people-c044accb9f/1.02 Cannock/Cannock Workings 2014 v1.xls,97792,
2026-01-19T09:59:03.864Z,DRY_RUN,archive-people,1.02 Cannock\Cannock Workings 2014 v2.xls,prospects-and-clients-people-c044accb9f/1.02 Cannock/Cannock Workings 2014 v2.xls,98304,
2026-01-19T09:59:03.865Z,DRY_RUN,archive-performance,1.02 Cannock\COVER.jpg,prospects-and-clients-performance-c044accb9f/1.02 Cannock/COVER.jpg,595833,
2026-01-19T09:59:03.865Z,DRY_RUN,archive-performance,1.02 Cannock\Lower Mall.jpg,prospects-and-clients-performance-c044accb9f/1.02 Cannock/Lower Mall.jpg,631906,
2026-01-19T09:59:03.865Z,DRY_RUN,archive-performance,1.02 Cannock\Market Hall St left.jpg,prospects-and-clients-performance-c044accb9f/1.02 Cannock/Market Hall St left.jpg,610894,
2026-01-19T09:59:03.866Z,DRY_RUN,archive-performance,1.02 Cannock\Market Hall St right.jpg,prospects-and-clients-performance-c044accb9f/1.02 Cannock/Market Hall St right.jpg,614586,
2026-01-19T09:59:03.866Z,SKIP,,1.02 Cannock\Thumbs.db,,232448,SKIP_skip_ext:.db
2026-01-19T09:59:03.866Z,DRY_RUN,archive-performance,1.02 Cannock\Upper Mall.jpg,prospects-and-clients-performance-c044accb9f/1.02 Cannock/Upper Mall.jpg,552522,
2026-01-19T09:59:03.866Z,DRY_RUN,archive-people,1.02 The Chimes\1.02 Intu Uxbridge costs.xls,prospects-and-clients-people-c044accb9f/1.02 The Chimes/1.02 Intu Uxbridge costs.xls,118784,
2026-01-19T09:59:03.867Z,DRY_RUN,archive-people,1.02 The Chimes\1.02 Project Plan - Example.xlsx,prospects-and-clients-people-c044accb9f/1.02 The Chimes/1.02 Project Plan - Example.xlsx,153801,
2026-01-19T09:59:03.867Z,DRY_RUN,archive-people,1.02 The Chimes\2019 intu Uxbridge Christmas Decs  Brief (1).doc,prospects-and-clients-people-c044accb9f/1.02 The Chimes/2019 intu Uxbridge Christmas Decs  Brief (1).doc,22430208,
2026-01-19T09:59:03.867Z,DRY_RUN,archive-people,1.02 The Chimes\2019 intu Uxbridge Christmas Decs  Brief.doc,prospects-and-clients-people-c044accb9f/1.02 The Chimes/2019 intu Uxbridge Christmas Decs  Brief.doc,22430208,
2026-01-19T09:59:03.867Z,DRY_RUN,archive-people,1.02 The Chimes\2025\FP1.02 2025-2027 Cost Sheet.xlsx,prospects-and-clients-people-c044accb9f/1.02 The Chimes/2025/FP1.02 2025-2027 Cost Sheet.xlsx,109570,
2026-01-19T09:59:03.868Z,DRY_RUN,archive-product,1.02 The Chimes\2025\proactis\The Chimes 2025 - Fizzco Christmas Proposal.pdf,prospects-and-clients-product-c044accb9f/1.02 The Chimes/2025/proactis/The Chimes 2025 - Fizzco Christmas Proposal.pdf,23786910,
2026-01-19T09:59:03.868Z,DRY_RUN,archive-people,1.02 The Chimes\2025\proactis\The Chimes Xmas Decs 2024-26 Cost Model Template - Fizzco Opt 1.xlsx,prospects-and-clients-people-c044accb9f/1.02 The Chimes/2025/proactis/The Chimes Xmas Decs 2024-26 Cost Model Template - Fizzco Opt 1.xlsx,48039,
2026-01-19T09:59:03.868Z,DRY_RUN,archive-people,1.02 The Chimes\2025\proactis\The Chimes Xmas Decs 2024-26 Cost Model Template - Fizzco Opt 2.xlsx,prospects-and-clients-people-c044accb9f/1.02 The Chimes/2025/proactis/The Chimes Xmas Decs 2024-26 Cost Model Template - Fizzco Opt 2.xlsx,48067,
2026-01-19T09:59:03.868Z,DRY_RUN,archive-people,1.02 The Chimes\2025\proactis\The Chimes Xmas Decs 2024-26 Cost Model Template - Fizzco Opt 3.xlsx,prospects-and-clients-people-c044accb9f/1.02 The Chimes/2025/proactis/The Chimes Xmas Decs 2024-26 Cost Model Template - Fizzco Opt 3.xlsx,48047,
2026-01-19T09:59:03.869Z,DRY_RUN,archive-product,1.02 The Chimes\2025\The Chimes 2025 - Fizzco Christmas Proposal.pdf,prospects-and-clients-product-c044accb9f/1.02 The Chimes/2025/The Chimes 2025 - Fizzco Christmas Proposal.pdf,23968977,
2026-01-19T09:59:03.869Z,DRY_RUN,archive-product,1.02 The Chimes\2025\The Chimes 2025 Physical presentation v2.pdf,prospects-and-clients-product-c044accb9f/1.02 The Chimes/2025/The Chimes 2025 Physical presentation v2.pdf,21929062,
2026-01-19T09:59:03.869Z,SKIP,,1.02 The Chimes\2025\The Chimes 2025 Physical presentation v2.pptx,,596454775,SKIP_over_50MB (568.8MB)
2026-01-19T09:59:03.869Z,SKIP,,1.02 The Chimes\2025\The Chimes 2025.pptx,,596460863,SKIP_over_50MB (568.8MB)
2026-01-19T09:59:03.869Z,SKIP,,1.02 The Chimes\2025\Thumbs.db,,30208,SKIP_skip_ext:.db
2026-01-19T09:59:03.869Z,SKIP,,1.02 The Chimes\2025\videos\Deer sleigh void.mp4,,111623081,SKIP_over_50MB (106.5MB)
2026-01-19T09:59:03.870Z,SKIP,,1.02 The Chimes\2025\videos\Deer.mp4,,72852643,SKIP_over_50MB (69.5MB)
2026-01-19T09:59:03.870Z,DRY_RUN,archive-performance,1.02 The Chimes\2025\videos\Exterior Tree.mp4,prospects-and-clients-performance-c044accb9f/1.02 The Chimes/2025/videos/Exterior Tree.mp4,42606026,
2026-01-19T09:59:03.870Z,SKIP,,1.02 The Chimes\2025\videos\Geo Tree_1.mp4,,164084984,SKIP_over_50MB (156.5MB)
2026-01-19T09:59:03.870Z,DRY_RUN,archive-performance,1.02 The Chimes\2025\videos\Hally.mp4,prospects-and-clients-performance-c044accb9f/1.02 The Chimes/2025/videos/Hally.mp4,13751508,
2026-01-19T09:59:03.870Z,SKIP,,1.02 The Chimes\2025\videos\sleigh.mp4,,79302232,SKIP_over_50MB (75.6MB)
2026-01-19T09:59:03.871Z,DRY_RUN,archive-product,1.02 The Chimes\Centre_Rules (1).pdf,prospects-and-clients-product-c044accb9f/1.02 The Chimes/Centre_Rules (1).pdf,295948,
2026-01-19T09:59:03.871Z,DRY_RUN,archive-product,1.02 The Chimes\Centre_Rules.pdf,prospects-and-clients-product-c044accb9f/1.02 The Chimes/Centre_Rules.pdf,295948,
2026-01-19T09:59:03.871Z,DRY_RUN,archive-product,1.02 The Chimes\F.P 1.02 Intu Uxbridge - low res.pdf,prospects-and-clients-product-c044accb9f/1.02 The Chimes/F.P 1.02 Intu Uxbridge - low res.pdf,4381951,
2026-01-19T09:59:03.871Z,DRY_RUN,archive-product,1.02 The Chimes\F.P 1.02 Intu Uxbridge v2.1.pdf,prospects-and-clients-product-c044accb9f/1.02 The Chimes/F.P 1.02 Intu Uxbridge v2.1.pdf,20247850,
2026-01-19T09:59:03.871Z,SKIP,,1.02 The Chimes\F.P 1.02 Intu Uxbridge v2.1.pptx,,135518842,SKIP_over_50MB (129.2MB)
2026-01-19T09:59:03.872Z,DRY_RUN,archive-product,1.02 The Chimes\F.P 1.02 Intu Uxbridge v2.pdf,prospects-and-clients-product-c044accb9f/1.02 The Chimes/F.P 1.02 Intu Uxbridge v2.pdf,16650212,
2026-01-19T09:59:03.872Z,SKIP,,1.02 The Chimes\F.P 1.02 Intu Uxbridge v2.pptx,,127071368,SKIP_over_50MB (121.2MB)
2026-01-19T09:59:03.872Z,DRY_RUN,archive-people,1.02 The Chimes\F.P 1.02 Intu Uxbridge.pptx,prospects-and-clients-people-c044accb9f/1.02 The Chimes/F.P 1.02 Intu Uxbridge.pptx,47903456,
2026-01-19T09:59:03.872Z,DRY_RUN,archive-performance,1.02 The Chimes\Fabio Moodboard.jpg,prospects-and-clients-performance-c044accb9f/1.02 The Chimes/Fabio Moodboard.jpg,280236,
2026-01-19T09:59:03.873Z,DRY_RUN,archive-people,1.02 The Chimes\image of gantt chart.xlsx,prospects-and-clients-people-c044accb9f/1.02 The Chimes/image of gantt chart.xlsx,33938,
2026-01-19T09:59:03.873Z,DRY_RUN,archive-people,1.02 The Chimes\Partnership Charter (1).docx,prospects-and-clients-people-c044accb9f/1.02 The Chimes/Partnership Charter (1).docx,22185,
2026-01-19T09:59:03.873Z,DRY_RUN,archive-people,1.02 The Chimes\Partnership Charter.docx,prospects-and-clients-people-c044accb9f/1.02 The Chimes/Partnership Charter.docx,22185,
2026-01-19T09:59:03.873Z,DRY_RUN,archive-people,1.02 The Chimes\RFP - Form of Tender.docx,prospects-and-clients-people-c044accb9f/1.02 The Chimes/RFP - Form of Tender.docx,47138,
2026-01-19T09:59:03.874Z,DRY_RUN,archive-people,1.02 The Chimes\RFP.DOCX,prospects-and-clients-people-c044accb9f/1.02 The Chimes/RFP.DOCX,41126,
2026-01-19T09:59:03.874Z,DRY_RUN,archive-people,1.02 The Chimes\Temporary Installation Contract (1).docx,prospects-and-clients-people-c044accb9f/1.02 The Chimes/Temporary Installation Contract (1).docx,56275,
